claim_id,tier,file,line,claim,original_score,final_score,citation,fix_applied,status
M4,medium,02_map_to_hnoca.py,326,"Class-balanced KNN 1/sqrt(freq) weighting",1,1,"No scRNA-seq-specific citation; general ML principle",Documented as pipeline-specific heuristic for HNOCA imbalance,fixed
M5,medium,04_gpbo_loop.py,967,"Multiplicative replacement delta=0.65/(D*100)",2,2,"Martin-Fernandez 2003 DOI:10.1023/A:1023866030544; zCompositions defaults",Clarified 0.65 from zCompositions; D*100 is pipeline approximation,fixed
L1,low,config.py,53,"Protein molecular weights",2,2,"UniProt verified: BMP4 P12644; SHH Q15465; FGF2 P09038; EGF P01133",No fix needed — vendor-consistent values,verified
L2,low,config.py,155,"Fidelity cost ratios 1.0/0.005/0.001",1,1,"Application-specific by definition",No fix needed,verified
L3,low,config.py,171,"CellFlow variance inflation = 2.0",0,0,"No literature — already flagged as heuristic in code",Already documented; relevance check provides data-driven alternative,verified
L4,low,config.py,210,"Convergence thresholds (Narayanan 2025)",0,1,"FABRICATED citation removed",Removed Narayanan attribution; documented as pipeline heuristics,fixed
L5,low,config.py,217,"Ensemble disagreement (GPerturb Xing/Yau 2025)",2,2,"GPerturb paper real (Nature Comms 2025); constants are pipeline-specific",Clarified attribution scope,fixed
L6,low,config.py,231,"Gruffi threshold=0.15 resolution=2.0",1,2,"Vertesy 2022 DOI:10.15252/embj.2022111118",Documented as pipeline defaults not paper defaults,fixed
L7,low,morphogen_parser.py,78,"log(harvest_day) encoding",1,1,"No specific citation; reasonable for developmental biology",No fix needed,verified
L8,low,03_fidelity_scoring.py,231,"Aitchison pseudo-count eps=1e-6",1,1,"Standard additive replacement; inconsistency with ILR noted",Added clarifying comment,fixed
L9,low,04_gpbo_loop.py,246,"Literature bounds (CHIR 0-12 etc)",2,2,"Consistent with published dose ranges",No fix needed,verified
L10,low,04_gpbo_loop.py,406,"Dimensionality-scaled lengthscale prior",3,3,"Hvarfner et al ICML 2024 arXiv:2402.02229",Confirmed — correct citation,verified
L11,low,04_gpbo_loop.py,444,"Noise prior Gamma(3 6) vs actual Gamma(1.1 0.05)",1,2,"Cosenza 2022 DOI:10.1002/bit.28132 (approach not specific priors)",Fixed docstring/code mismatch; corrected attribution scope,fixed
L12,low,04_gpbo_loop.py,573,"LassoBO alpha=0.1",3,3,"Hoang et al AISTATS 2025 arXiv:2504.01743",Confirmed — correct citation,verified
L13,low,04_gpbo_loop.py,823,"Additive interaction kernel outputscale=0.1",1,1,"Duvenaud et al NeurIPS 2011; effect hierarchy principle",No fix needed — reasonable default,verified
L14,low,02_map_to_hnoca.py,232,"scPoli eta=10 epochs=500",2,2,"De Donno et al Nature Methods 2022 DOI:10.1038/s41592-023-02035-2",Standard practice per scPoli docs,verified
L15,low,02_map_to_hnoca.py,582,"KNN k=50 for label transfer",2,2,"Standard in atlas mapping; He et al 2024",No fix needed,verified
L16,low,05_cellrank2_virtual.py,55,"Moscot epsilon=1e-3 tau=0.94",2,2,"Klein et al Nature 2023 DOI:10.1038/s41586-024-08453-2",Moscot defaults,verified
L17,low,05_cellrank2_virtual.py,199,"CellRank2 connectivity weight=0.2",2,2,"Weiler et al Nature Methods 2024 DOI:10.1038/s41592-024-02303-9",Library default,verified
L18,low,05_cellrank2_virtual.py,234,"GPCCA n_macrostates=12",1,2,"Reuter et al 2018 DOI:10.1021/acs.jctc.8b00079",Added eigenvalue gap validation guidance,fixed
L19,low,06_cellflow_virtual.py,515,"Heuristic EC50 values",0,1,"CHIR: Law/Zheng 2022 DOI:10.1016/j.isci.2022.104159; BMP4: Heemskerk 2019 DOI:10.7554/eLife.40526; SAG: Chen 2002 DOI:10.1073/pnas.212323999",Added citations; flagged SAG EC50 as potentially too high,fixed
L20,low,06_cellflow_virtual.py,519,"Heuristic effect magnitudes",0,1,"No literature basis — documented as hand-tuned",Documented as fabricated priors; low impact at fidelity=0.0,fixed
L21,low,06_cellflow_virtual.py,844,"Confidence decay 2*median_train_dist",2,2,"Garreau et al 2017 median heuristic",Standard practice,verified
L22,low,04_gpbo_loop.py,191,"IndexKernel rank=min(n_fidelities 2)",2,2,"Bonilla et al NeurIPS 2008; Poloczek et al 2017 DOI:10.1609/aaai.v31i1.10693",Standard multi-task GP,verified
L23,low,04_gpbo_loop.py,693,"Zero-passing kernel eps=1.0",1,1,"Jidling et al 2017 arXiv:1706.02049; concept from GPerturb",Reasonable default; consider making learnable,verified
L24,low,gruffi_qc.py,31,"Gruffi GO terms",3,3,"Vertesy et al 2022 DOI:10.15252/embj.2022111118",Exact match to paper,verified
L25,low,gruffi_qc.py,40,"Min cells per condition = 50",1,1,"No specific citation; practical heuristic",Reasonable,verified
L26,low,04_gpbo_loop.py,932,"ILR Helmert basis",3,3,"Egozcue et al 2003 DOI:10.1023/A:1023818214614 (1753 citations)",Seminal paper,verified
L27,low,03_fidelity_scoring.py,311,"Aitchison distance for compositions",3,3,"Quinn 2017 DOI:10.1038/s41598-017-16520-0; Aitchison 1986",Well-established,verified
NEW1,critical,03_fidelity_scoring.py,173,"Cell type proportions vs transcriptomic fidelity as objective",3,3,"He et al 2024 DOI:10.1038/s41586-024-08172-8; Venkatesan et al 2025 bioRxiv",Documented as known architectural limitation,documented
